relative_time,NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,action
5.057384014129639,"(0.4015067219734192, 0.18286122381687164, 0.15933972597122192, 0.9997217059135437)","(0.3979349136352539, 0.17014653980731964, 0.1257118582725525, 0.9996395707130432)","(0.39529120922088623, 0.16968172788619995, 0.125721737742424, 0.9996617436408997)","(0.39257749915122986, 0.16942070424556732, 0.1257389783859253, 0.9996417760848999)","(0.4058842658996582, 0.17010311782360077, 0.1345633566379547, 0.9995789527893066)","(0.4084782004356384, 0.16961444914340973, 0.1345723420381546, 0.9995431900024414)","(0.41110673546791077, 0.16927625238895416, 0.1345171481370926, 0.999514102935791)","(0.38911861181259155, 0.17465241253376007, 0.021527845412492752, 0.9994527101516724)","(0.4169568121433258, 0.1748523861169815, 0.03468680381774902, 0.9991843700408936)","(0.39703568816185, 0.19448326528072357, 0.12284235656261444, 0.9996084570884705)","(0.4061811864376068, 0.19509819149971008, 0.134983628988266, 0.9995332956314087)","(0.35917866230010986, 0.2405387908220291, -0.06955574452877045, 0.9999273419380188)","(0.4463222026824951, 0.2592107951641083, 0.010428518056869507, 0.9995163083076477)","(0.34808042645454407, 0.36861109733581543, -0.09633127599954605, 0.9653895497322083)","(0.45778828859329224, 0.38765749335289, -0.017686348408460617, 0.6125656366348267)","(0.3447474241256714, 0.4856641888618469, -0.0688471794128418, 0.9447768330574036)","(0.44731441140174866, 0.4830777943134308, -0.059652674943208694, 0.4833068251609802)","(0.3420819640159607, 0.5119220018386841, -0.0828053280711174, 0.9008209109306335)","(0.44632965326309204, 0.5104418992996216, -0.0678103119134903, 0.43503379821777344)","(0.3456670641899109, 0.5082591772079468, -0.08020520955324173, 0.8956302404403687)","(0.4415760040283203, 0.508440375328064, -0.07609742879867554, 0.4265874922275543)","(0.34844881296157837, 0.500190794467926, -0.06666595488786697, 0.849357545375824)","(0.44010084867477417, 0.49919870495796204, -0.06423840671777725, 0.3981987237930298)","(0.37429797649383545, 0.4806722104549408, -0.03375328332185745, 0.9994069933891296)","(0.42451149225234985, 0.4857291877269745, 0.03357824310660362, 0.9985449314117432)","(0.37269407510757446, 0.657620370388031, -0.03210686147212982, 0.9679577350616455)","(0.4245659410953522, 0.6660022139549255, 0.0579117052257061, 0.876864492893219)","(0.3645036816596985, 0.8214744329452515, 0.0005666913348250091, 0.9825394153594971)","(0.4259103834629059, 0.8372973203659058, 0.07735525816679001, 0.9400799870491028)","(0.3691686987876892, 0.8518702387809753, 0.003020134288817644, 0.9673528671264648)","(0.4234815239906311, 0.8684676289558411, 0.0776033028960228, 0.9312952160835266)","(0.3508465886116028, 0.8404978513717651, -0.04785078391432762, 0.9437209963798523)","(0.42666807770729065, 0.8396501541137695, 0.028212949633598328, 0.8712817430496216)",IDLE
5.1571197509765625,"(0.3994435966014862, 0.1849455088376999, 0.19135859608650208, 0.9997321367263794)","(0.39597949385643005, 0.17227409780025482, 0.163230299949646, 0.99964839220047)","(0.39332345128059387, 0.17163749039173126, 0.16325150430202484, 0.9996710419654846)","(0.39071837067604065, 0.1712092012166977, 0.16327717900276184, 0.9996491074562073)","(0.40352344512939453, 0.17258188128471375, 0.1626996546983719, 0.9995958209037781)","(0.4059484004974365, 0.17222857475280762, 0.16272373497486115, 0.9995666742324829)","(0.4083089232444763, 0.17195579409599304, 0.16263145208358765, 0.99953293800354)","(0.38894397020339966, 0.17633113265037537, 0.06099335104227066, 0.9994837641716003)","(0.41296178102493286, 0.1772468388080597, 0.053899895399808884, 0.9992330074310303)","(0.39497071504592896, 0.19563470780849457, 0.15934604406356812, 0.999629020690918)","(0.40329504013061523, 0.19664818048477173, 0.1580643504858017, 0.999561607837677)","(0.352704256772995, 0.2436603307723999, -0.004074821714311838, 0.9999279975891113)","(0.4449777603149414, 0.2589431405067444, 0.007853475399315357, 0.9995574951171875)","(0.3428439497947693, 0.36841636896133423, -0.03422735631465912, 0.9632750749588013)","(0.4526894688606262, 0.3849536180496216, -0.02453375980257988, 0.6486635208129883)","(0.34275320172309875, 0.4873211681842804, -0.047955505549907684, 0.9350049495697021)","(0.4490854740142822, 0.4833565652370453, -0.044366948306560516, 0.5260666608810425)","(0.3408188223838806, 0.5129541754722595, -0.06101303547620773, 0.8869483470916748)","(0.4493209719657898, 0.5104683637619019, -0.052774906158447266, 0.47597694396972656)","(0.34632325172424316, 0.5092872381210327, -0.06138741225004196, 0.880433201789856)","(0.4447847008705139, 0.5083657503128052, -0.05793721228837967, 0.4671529233455658)","(0.34899836778640747, 0.5012360215187073, -0.04880768805742264, 0.8317617774009705)","(0.442965567111969, 0.49940407276153564, -0.04664110764861107, 0.43480417132377625)","(0.3712075352668762, 0.4829521179199219, -0.013499823398888111, 0.99943608045578)","(0.42190417647361755, 0.48694804310798645, 0.013228942640125751, 0.9986354112625122)","(0.3676196038722992, 0.6576474905014038, -0.021643688902258873, 0.970855712890625)","(0.424111545085907, 0.6656638979911804, 0.048461683094501495, 0.8876752257347107)","(0.3577226400375366, 0.822718620300293, -0.0037806492764502764, 0.9834998250007629)","(0.42590007185935974, 0.8368249535560608, 0.0749138742685318, 0.9440364837646484)","(0.3622940182685852, 0.8547674417495728, -0.002104206709191203, 0.9699593186378479)","(0.4223158359527588, 0.8687674403190613, 0.07596147060394287, 0.9359450340270996)","(0.351331502199173, 0.8359119892120361, -0.052385397255420685, 0.9366679191589355)","(0.43280357122421265, 0.8369300961494446, 0.028111198917031288, 0.8604082465171814)",IDLE
5.2577948570251465,"(0.3973008990287781, 0.18493397533893585, 0.22977599501609802, 0.999746561050415)","(0.39039862155914307, 0.17221657931804657, 0.20327475666999817, 0.999666690826416)","(0.3868270218372345, 0.17158979177474976, 0.20331493020057678, 0.9996891021728516)","(0.38328316807746887, 0.17119699716567993, 0.20331943035125732, 0.9996668100357056)","(0.4014410078525543, 0.17249256372451782, 0.1977691650390625, 0.9996224045753479)","(0.4053872525691986, 0.17213943600654602, 0.19778361916542053, 0.99959796667099)","(0.4074636399745941, 0.17187829315662384, 0.19768266379833221, 0.9995644092559814)","(0.3771504759788513, 0.17728890478610992, 0.10330375283956528, 0.9995196461677551)","(0.40822380781173706, 0.1776154339313507, 0.06952419877052307, 0.9992939829826355)","(0.3885849118232727, 0.19563940167427063, 0.19933360815048218, 0.9996508955955505)","(0.39971923828125, 0.19670134782791138, 0.19139616191387177, 0.9995931386947632)","(0.34289032220840454, 0.2529509663581848, 0.04623853787779808, 0.9999166131019592)","(0.4262288510799408, 0.2566910982131958, 0.0008660326711833477, 0.9995961785316467)","(0.33698517084121704, 0.3758203685283661, 0.028191611170768738, 0.9578472971916199)","(0.4464145302772522, 0.38270074129104614, -0.019256018102169037, 0.6830026507377625)","(0.3456536531448364, 0.48616817593574524, 0.02605476602911949, 0.876686692237854)","(0.4477776885032654, 0.4823765754699707, -0.01585579663515091, 0.5627309679985046)","(0.3424833416938782, 0.5126939415931702, 0.019667258486151695, 0.824225664138794)","(0.44933396577835083, 0.509574830532074, -0.02211066521704197, 0.5083445906639099)","(0.35486894845962524, 0.5087630152702332, 0.01655273512005806, 0.8165798783302307)","(0.4451363980770111, 0.5074806809425354, -0.023097287863492966, 0.4991137385368347)","(0.3554582893848419, 0.5000911951065063, 0.023663856089115143, 0.7712531089782715)","(0.4432399868965149, 0.4983642101287842, -0.015623698942363262, 0.4608413875102997)","(0.36416640877723694, 0.49207204580307007, 0.009285641834139824, 0.9994606375694275)","(0.41228151321411133, 0.49425366520881653, -0.009485814720392227, 0.9987366795539856)","(0.3606798052787781, 0.6579279899597168, 0.019185181707143784, 0.9735763072967529)","(0.4188407063484192, 0.6686102151870728, 0.03956927731633186, 0.898559033870697)","(0.35566967725753784, 0.8250347375869751, 0.04402535408735275, 0.9846649169921875)","(0.4258643090724945, 0.8370113968849182, 0.06501138210296631, 0.949141263961792)","(0.35906872153282166, 0.8572512865066528, 0.04686105251312256, 0.9725943207740784)","(0.42155423760414124, 0.8683971166610718, 0.06672696024179459, 0.9417309761047363)","(0.34921497106552124, 0.8404591679573059, 0.013646872714161873, 0.9294052124023438)","(0.43427425622940063, 0.8380516171455383, 0.02729865349829197, 0.8612666726112366)",IDLE
5.357295989990234,"(0.39647921919822693, 0.1899842619895935, 0.193099707365036, 0.9997584819793701)","(0.3874592185020447, 0.17496487498283386, 0.17371448874473572, 0.999684751033783)","(0.38369446992874146, 0.1740267276763916, 0.1737484186887741, 0.9997038245201111)","(0.380262553691864, 0.17339514195919037, 0.17375120520591736, 0.9996851682662964)","(0.39659106731414795, 0.17565754055976868, 0.16527298092842102, 0.9996498227119446)","(0.3983440399169922, 0.17516498267650604, 0.1652902066707611, 0.9996277689933777)","(0.399010568857193, 0.1747361272573471, 0.1652018129825592, 0.9995980262756348)","(0.37220996618270874, 0.17906172573566437, 0.1056290715932846, 0.9995453357696533)","(0.3944038152694702, 0.17978085577487946, 0.04172057658433914, 0.999350905418396)","(0.38649290800094604, 0.20038031041622162, 0.17247790098190308, 0.9996649622917175)","(0.39516621828079224, 0.2015944868326187, 0.16317978501319885, 0.9996189475059509)","(0.3293599784374237, 0.2662023603916168, 0.08835197240114212, 0.999888002872467)","(0.4064924716949463, 0.2547808587551117, -0.06059737130999565, 0.9996348023414612)","(0.3291402757167816, 0.3901176154613495, 0.11427352577447891, 0.9438756704330444)","(0.42950400710105896, 0.379938542842865, -0.06999310851097107, 0.7143468856811523)","(0.3470827341079712, 0.4745679497718811, 0.14976012706756592, 0.7971137166023254)","(0.44403061270713806, 0.4817054867744446, -0.020794715732336044, 0.5971421599388123)","(0.34989047050476074, 0.49315494298934937, 0.1590494066476822, 0.7474936246871948)","(0.4452783167362213, 0.5092496871948242, -0.02077590860426426, 0.5384966731071472)","(0.3620072901248932, 0.49148932099342346, 0.15298284590244293, 0.7402533888816833)","(0.4413531422615051, 0.5073690414428711, -0.017377616837620735, 0.5294672846794128)","(0.3612924814224243, 0.4837702810764313, 0.14742311835289001, 0.6998915076255798)","(0.4392051696777344, 0.4977034330368042, -0.016322342678904533, 0.4864521324634552)","(0.35338982939720154, 0.4975675344467163, 0.0498228594660759, 0.9994630217552185)","(0.39929282665252686, 0.49657681584358215, -0.05010773986577988, 0.9988269805908203)","(0.3562568128108978, 0.6577049493789673, 0.07149331271648407, 0.9752873182296753)","(0.41374921798706055, 0.6669939160346985, 0.00783470831811428, 0.9081536531448364)","(0.3542248010635376, 0.8260390162467957, 0.09788747131824493, 0.9843825697898865)","(0.4229820668697357, 0.8352344036102295, 0.013257354497909546, 0.9534063339233398)","(0.3557891249656677, 0.8578439354896545, 0.10090577602386475, 0.9738608002662659)","(0.41747888922691345, 0.8646745681762695, 0.013694904744625092, 0.946373701095581)","(0.35262495279312134, 0.8391135931015015, 0.08247900754213333, 0.9185702800750732)","(0.43444886803627014, 0.8382736444473267, -0.015271765179932117, 0.8660586476325989)",IDLE
5.457639217376709,"(0.38710716366767883, 0.19666536152362823, 0.1798391193151474, 0.9997058510780334)","(0.380123496055603, 0.1809476613998413, 0.1621667742729187, 0.9996175169944763)","(0.3769112229347229, 0.1799294799566269, 0.16219215095043182, 0.999633252620697)","(0.3736405372619629, 0.17905005812644958, 0.16218405961990356, 0.9996249079704285)","(0.38601163029670715, 0.18089067935943604, 0.1637120097875595, 0.9996227025985718)","(0.38666832447052, 0.17989088594913483, 0.16376958787441254, 0.9996059536933899)","(0.38696831464767456, 0.17901314795017242, 0.16391269862651825, 0.9995805621147156)","(0.3640841245651245, 0.18283255398273468, 0.10642717778682709, 0.9994470477104187)","(0.3828451335430145, 0.1826600432395935, 0.028089016675949097, 0.9993252158164978)","(0.3784560263156891, 0.20701876282691956, 0.16276225447654724, 0.9995697736740112)","(0.3846363425254822, 0.20716315507888794, 0.1529725193977356, 0.9995602965354919)","(0.3233760595321655, 0.27249717712402344, 0.11637115478515625, 0.9997671842575073)","(0.39135921001434326, 0.251232773065567, -0.08103008568286896, 0.9996668696403503)","(0.3242534101009369, 0.3880872130393982, 0.17112502455711365, 0.8888345956802368)","(0.4086769223213196, 0.3687301278114319, -0.10510247945785522, 0.7423874735832214)","(0.3472519516944885, 0.43187159299850464, 0.2129494696855545, 0.7221282720565796)","(0.42804408073425293, 0.4732609689235687, -0.08691094070672989, 0.6299934387207031)","(0.3539251685142517, 0.4445269703865051, 0.22721803188323975, 0.6773130893707275)","(0.43235287070274353, 0.5029767751693726, -0.09617834538221359, 0.5715715289115906)","(0.3667251765727997, 0.43941304087638855, 0.214329332113266, 0.6705926656723022)","(0.4308415949344635, 0.4993419945240021, -0.08958456665277481, 0.5628798604011536)","(0.3665168881416321, 0.4340958595275879, 0.20812265574932098, 0.6346567869186401)","(0.4285723567008972, 0.4892456531524658, -0.08200341463088989, 0.5154544711112976)","(0.34195029735565186, 0.49694952368736267, 0.06722453236579895, 0.9994125962257385)","(0.38536345958709717, 0.49626702070236206, -0.06741397082805634, 0.9988692402839661)","(0.3522484004497528, 0.6573946475982666, 0.0730784609913826, 0.9759661555290222)","(0.40077537298202515, 0.6566935181617737, -0.023983431980013847, 0.9170137047767639)","(0.35370299220085144, 0.8266521096229553, 0.09160561114549637, 0.9832208156585693)","(0.4083024561405182, 0.8255249857902527, -0.024784116074442863, 0.9575193524360657)","(0.3533931374549866, 0.8579915165901184, 0.09278199821710587, 0.9747362732887268)","(0.4023212492465973, 0.854164719581604, -0.02556019462645054, 0.9508524537086487)","(0.3582786023616791, 0.8406514525413513, 0.06404519081115723, 0.9053530097007751)","(0.4316064417362213, 0.838820219039917, -0.06630882620811462, 0.8732239007949829)",IDLE
5.557151556015015,"(0.38009700179100037, 0.1983896642923355, 0.14440008997917175, 0.9995375871658325)","(0.37504392862319946, 0.1831667572259903, 0.14719361066818237, 0.9993265867233276)","(0.37270092964172363, 0.18205739557743073, 0.14718545973300934, 0.9993218183517456)","(0.37015417218208313, 0.18099261820316315, 0.14717812836170197, 0.9993600845336914)","(0.3784030079841614, 0.18294785916805267, 0.11388041824102402, 0.9994528889656067)","(0.3784213066101074, 0.18179036676883698, 0.11387237161397934, 0.9994625449180603)","(0.3783574402332306, 0.18075372278690338, 0.11373239755630493, 0.9994397759437561)","(0.35994753241539, 0.18313080072402954, 0.11767426878213882, 0.9989047050476074)","(0.37314552068710327, 0.1830253005027771, -0.002325298497453332, 0.999089777469635)","(0.3736477196216583, 0.20875021815299988, 0.15654818713665009, 0.9992271661758423)","(0.37709474563598633, 0.2084626704454422, 0.10650300979614258, 0.9993419051170349)","(0.32014673948287964, 0.2692054510116577, 0.1565164178609848, 0.9995428323745728)","(0.37815171480178833, 0.2439444363117218, -0.12110409885644913, 0.9996969699859619)","(0.32532674074172974, 0.38332265615463257, 0.185707688331604, 0.8115646839141846)","(0.3888079822063446, 0.359244704246521, -0.2165100872516632, 0.766765296459198)","(0.3476880192756653, 0.4419107735157013, 0.16905775666236877, 0.660344123840332)","(0.40934062004089355, 0.47131115198135376, -0.27451422810554504, 0.6645305156707764)","(0.35295069217681885, 0.4593017101287842, 0.1800413578748703, 0.6216574907302856)","(0.41255101561546326, 0.5020622611045837, -0.30070430040359497, 0.6107356548309326)","(0.3651336133480072, 0.4541666805744171, 0.16149301826953888, 0.6153516173362732)","(0.4145437777042389, 0.4977585971355438, -0.2865240275859833, 0.6024889349937439)","(0.3656696379184723, 0.44763311743736267, 0.16012734174728394, 0.5826219320297241)","(0.41341328620910645, 0.48767468333244324, -0.2687131464481354, 0.5557736158370972)","(0.335493266582489, 0.4963351786136627, 0.08795277029275894, 0.9993381500244141)","(0.3760603070259094, 0.4920707643032074, -0.08814316987991333, 0.9988990426063538)","(0.3516019284725189, 0.6497990489006042, 0.08731891214847565, 0.9687491059303284)","(0.39230817556381226, 0.6446030139923096, -0.07220934331417084, 0.9247268438339233)","(0.35287585854530334, 0.8267601132392883, 0.110024094581604, 0.974136233329773)","(0.39045363664627075, 0.8212348818778992, -0.07204402983188629, 0.9608260989189148)","(0.3482182025909424, 0.8557724952697754, 0.10946111381053925, 0.9691542983055115)","(0.38424205780029297, 0.8495495319366455, -0.07429677248001099, 0.9538319706916809)","(0.37672483921051025, 0.838301956653595, 0.06459777802228928, 0.8891809582710266)","(0.4225746989250183, 0.8390775918960571, -0.13914021849632263, 0.8809210658073425)",IDLE
5.6574437618255615,"(0.37578874826431274, 0.1980610340833664, 0.09263695776462555, 0.9988135695457458)","(0.3715076446533203, 0.18273304402828217, 0.09629900008440018, 0.9980294108390808)","(0.3695128262042999, 0.18167194724082947, 0.09629112482070923, 0.9977326393127441)","(0.36735427379608154, 0.18063928186893463, 0.0963091179728508, 0.9981467127799988)","(0.3737972378730774, 0.18252557516098022, 0.06376244872808456, 0.9985266327857971)","(0.37355923652648926, 0.18142837285995483, 0.06374009698629379, 0.9984328150749207)","(0.37331297993659973, 0.18042415380477905, 0.06355340778827667, 0.998534619808197)","(0.3567356765270233, 0.18267090618610382, 0.10016275942325592, 0.9959334135055542)","(0.36678141355514526, 0.18259647488594055, -0.03754810243844986, 0.9971283078193665)","(0.370453417301178, 0.2087215781211853, 0.10177189111709595, 0.9978129267692566)","(0.37275058031082153, 0.20834676921367645, 0.05843554809689522, 0.9984139204025269)","(0.3190862238407135, 0.26670414209365845, 0.1433684527873993, 0.9991852641105652)","(0.366432249546051, 0.23958270251750946, -0.14138367772102356, 0.9997154474258423)","(0.321384996175766, 0.37787002325057983, 0.15415383875370026, 0.7377473711967468)","(0.37343093752861023, 0.35635998845100403, -0.2275354117155075, 0.7874335646629333)","(0.34680670499801636, 0.4475385844707489, 0.11677495390176773, 0.6028314232826233)","(0.3940142095088959, 0.4694436490535736, -0.2580161988735199, 0.6932065486907959)","(0.3523939549922943, 0.46731966733932495, 0.12209637463092804, 0.5688701868057251)","(0.39740803837776184, 0.501431405544281, -0.2801257371902466, 0.6423705816268921)","(0.36442703008651733, 0.463299423456192, 0.1052611917257309, 0.5632194876670837)","(0.4002355933189392, 0.49617999792099, -0.26723676919937134, 0.6341673135757446)","(0.3640790581703186, 0.45574951171875, 0.10707303136587143, 0.5332784652709961)","(0.3984906077384949, 0.4852820932865143, -0.25241193175315857, 0.5863255262374878)","(0.33295613527297974, 0.4963867664337158, 0.08524049818515778, 0.998907744884491)","(0.36416637897491455, 0.49143198132514954, -0.08542919903993607, 0.9985976219177246)","(0.352744996547699, 0.6481547951698303, 0.07800182700157166, 0.9029414653778076)","(0.3736947774887085, 0.6470798254013062, -0.06978729367256165, 0.9176766276359558)","(0.3516920208930969, 0.825018584728241, 0.10922840982675552, 0.9201635122299194)","(0.36419838666915894, 0.8216526508331299, -0.04144241660833359, 0.9497143030166626)","(0.3480488657951355, 0.8514763116836548, 0.1080799326300621, 0.9227254390716553)","(0.3616912066936493, 0.8502846360206604, -0.04199548810720444, 0.9396063089370728)","(0.37136298418045044, 0.8343054056167603, 0.05711235851049423, 0.8529387712478638)","(0.38935965299606323, 0.8392755389213562, -0.10963326692581177, 0.8734338283538818)",IDLE
5.758099317550659,"(0.3721314072608948, 0.19726069271564484, 0.05090100318193436, 0.998604416847229)","(0.3676666021347046, 0.18228815495967865, 0.05902274325489998, 0.9975032806396484)","(0.3661425709724426, 0.1813345104455948, 0.059005510061979294, 0.9971485137939453)","(0.3645118176937103, 0.18046817183494568, 0.05902772396802902, 0.9976678490638733)","(0.36855602264404297, 0.18206354975700378, 0.024055898189544678, 0.9981337785720825)","(0.36772188544273376, 0.18104036152362823, 0.024040965363383293, 0.9980562925338745)","(0.3668469488620758, 0.1801295429468155, 0.023901132866740227, 0.9981499910354614)","(0.3530476987361908, 0.1819467395544052, 0.08987750858068466, 0.9944177269935608)","(0.3579060733318329, 0.1823999434709549, -0.06738022714853287, 0.9967280626296997)","(0.36704325675964355, 0.20826411247253418, 0.06655493378639221, 0.9972135424613953)","(0.3677450120449066, 0.20802092552185059, 0.02045120857656002, 0.9980806708335876)","(0.31411585211753845, 0.2650589644908905, 0.1631818413734436, 0.9991276264190674)","(0.35381048917770386, 0.2410190850496292, -0.17258447408676147, 0.9997400045394897)","(0.31619971990585327, 0.37768805027008057, 0.18852365016937256, 0.6677147746086121)","(0.3624058961868286, 0.3591127097606659, -0.2471899688243866, 0.8067454099655151)","(0.33916884660720825, 0.45435675978660583, 0.15846987068653107, 0.5480294227600098)","(0.38100317120552063, 0.46988236904144287, -0.2640548050403595, 0.7198498845100403)","(0.3380027711391449, 0.47556939721107483, 0.1680944263935089, 0.5186004638671875)","(0.38449758291244507, 0.5019547939300537, -0.29165738821029663, 0.6723845601081848)","(0.35425037145614624, 0.4708532691001892, 0.14652523398399353, 0.5135816931724548)","(0.38812771439552307, 0.4962904155254364, -0.27581337094306946, 0.6646034121513367)","(0.3531174957752228, 0.4632530212402344, 0.14676721394062042, 0.48662716150283813)","(0.38656026124954224, 0.4854010343551636, -0.2574167251586914, 0.6169390678405762)","(0.32750052213668823, 0.5030214786529541, 0.1088213324546814, 0.9988450407981873)","(0.3534298241138458, 0.49782854318618774, -0.10903523862361908, 0.9985800981521606)","(0.3470132350921631, 0.6538115739822388, 0.13733743131160736, 0.847989559173584)","(0.3505362272262573, 0.6601665019989014, -0.10381273925304413, 0.9215021729469299)","(0.34150010347366333, 0.8253681659698486, 0.21105444431304932, 0.8815926313400269)","(0.3134799599647522, 0.8275086879730225, -0.039879679679870605, 0.9510036110877991)","(0.34068235754966736, 0.8519437909126282, 0.2135191261768341, 0.8895477056503296)","(0.2959910035133362, 0.8519366979598999, -0.035914499312639236, 0.9370573163032532)","(0.36898067593574524, 0.8428880572319031, 0.16890014708042145, 0.8347207903862)","(0.3445742428302765, 0.8595301508903503, -0.10085274279117584, 0.8817048072814941)",IDLE
5.857543230056763,"(0.3653447926044464, 0.19107787311077118, -0.01012352667748928, 0.9987016320228577)","(0.3607565760612488, 0.17294417321681976, 0.0022416815627366304, 0.9976427555084229)","(0.35971182584762573, 0.17231988906860352, 0.0022207212168723345, 0.9973193407058716)","(0.3585529923439026, 0.17175793647766113, 0.0022552635055035353, 0.9978060126304626)","(0.36015841364860535, 0.17281264066696167, -0.03400062769651413, 0.9982370734214783)","(0.3587406277656555, 0.17212271690368652, -0.03402229771018028, 0.9981822371482849)","(0.35724973678588867, 0.17150451242923737, -0.034111689776182175, 0.9982665777206421)","(0.3467457592487335, 0.17503148317337036, 0.06741256266832352, 0.9946580529212952)","(0.34668901562690735, 0.17548337578773499, -0.10306847095489502, 0.9969820976257324)","(0.36075153946876526, 0.2049683928489685, 0.01629405841231346, 0.9973437786102295)","(0.3599531054496765, 0.204562246799469, -0.03191341087222099, 0.9981917142868042)","(0.3133470416069031, 0.2592920660972595, 0.16849206387996674, 0.9991576671600342)","(0.3363087773323059, 0.23988355696201324, -0.19714950025081635, 0.9997649192810059)","(0.3148172199726105, 0.37541377544403076, 0.20300693809986115, 0.6036441326141357)","(0.3485659956932068, 0.3591938018798828, -0.2890203595161438, 0.8250413537025452)","(0.33443742990493774, 0.4612664580345154, 0.16999727487564087, 0.5006041526794434)","(0.37164658308029175, 0.4701404273509979, -0.3392206132411957, 0.7459699511528015)","(0.33649277687072754, 0.4787023663520813, 0.18002423644065857, 0.4759359657764435)","(0.3762076199054718, 0.5017446875572205, -0.3793814480304718, 0.7024640440940857)","(0.34750059247016907, 0.47822603583335876, 0.1514182686805725, 0.47145938873291016)","(0.38059210777282715, 0.49593597650527954, -0.35631921887397766, 0.6951720118522644)","(0.34631067514419556, 0.4707288444042206, 0.1558784544467926, 0.4471002519130707)","(0.3783341944217682, 0.48532378673553467, -0.33069607615470886, 0.6494518518447876)","(0.3249511420726776, 0.5019575357437134, 0.11553211510181427, 0.9988769292831421)","(0.33608171343803406, 0.4970396161079407, -0.11568166315555573, 0.9986604452133179)","(0.3407980799674988, 0.6582005620002747, 0.13688065111637115, 0.82743239402771)","(0.3401452898979187, 0.6621068120002747, -0.16136634349822998, 0.9287399649620056)","(0.3468697965145111, 0.8270989060401917, 0.22572088241577148, 0.8777545690536499)","(0.27445727586746216, 0.8393271565437317, -0.11096905171871185, 0.9552993178367615)","(0.34632548689842224, 0.8538527488708496, 0.22912177443504333, 0.8834322094917297)","(0.25959667563438416, 0.8644317388534546, -0.10907921940088272, 0.9403195977210999)","(0.3862207531929016, 0.8743857741355896, 0.17489475011825562, 0.8421555757522583)","(0.31369030475616455, 0.8904380202293396, -0.18835467100143433, 0.8927501440048218)",IDLE
5.957871675491333,"(0.35596439242362976, 0.1848311573266983, -0.04231678694486618, 0.9987538456916809)","(0.3521839678287506, 0.16700299084186554, -0.028791561722755432, 0.9976550340652466)","(0.3515891432762146, 0.1666237711906433, -0.028821120038628578, 0.9973618984222412)","(0.3508656620979309, 0.16636419296264648, -0.028786540031433105, 0.9978283047676086)","(0.35045886039733887, 0.1669597178697586, -0.06659598648548126, 0.9982461929321289)","(0.34862905740737915, 0.1664988249540329, -0.06661202013492584, 0.9982314109802246)","(0.34662872552871704, 0.16610683500766754, -0.06669279932975769, 0.9983062148094177)","(0.3386789560317993, 0.1711093634366989, 0.041127853095531464, 0.9943850040435791)","(0.3345590829849243, 0.1709718406200409, -0.1329159438610077, 0.9971182942390442)","(0.35197657346725464, 0.200794517993927, -0.01293136365711689, 0.9973030090332031)","(0.3500082790851593, 0.20076514780521393, -0.06300375610589981, 0.9982181191444397)","(0.3106563985347748, 0.2559775710105896, 0.1561911553144455, 0.9991299510002136)","(0.32023125886917114, 0.24072887003421783, -0.22188293933868408, 0.9997865557670593)","(0.31171703338623047, 0.3751654028892517, 0.19351962208747864, 0.545629620552063)","(0.3292585611343384, 0.3602288067340851, -0.2839055061340332, 0.8414515852928162)","(0.3296792805194855, 0.4624733328819275, 0.1486707627773285, 0.4577156603336334)","(0.3610000014305115, 0.4702858328819275, -0.29807180166244507, 0.7692848443984985)","(0.33253735303878784, 0.4799753427505493, 0.15498988330364227, 0.43725311756134033)","(0.3644161820411682, 0.5017564296722412, -0.3361120820045471, 0.729067325592041)","(0.34124985337257385, 0.4783407747745514, 0.1266491711139679, 0.433271199464798)","(0.3690798580646515, 0.49596235156059265, -0.31808486580848694, 0.7221626043319702)","(0.3400983214378357, 0.47086668014526367, 0.13394291698932648, 0.411246657371521)","(0.3677208125591278, 0.48543882369995117, -0.29063859581947327, 0.6774938106536865)","(0.32102322578430176, 0.5011330842971802, 0.11586441844701767, 0.9987642765045166)","(0.31949251890182495, 0.4965381324291229, -0.11596640199422836, 0.9986744523048401)","(0.334685742855072, 0.6580930948257446, 0.15303973853588104, 0.8076407313346863)","(0.329047292470932, 0.6600598692893982, -0.17743486166000366, 0.9352032542228699)","(0.34915921092033386, 0.8269490003585815, 0.2590944468975067, 0.8738473057746887)","(0.2691301703453064, 0.8468658328056335, -0.1399277299642563, 0.9591113924980164)","(0.3495123088359833, 0.853098452091217, 0.26412561535835266, 0.8777319192886353)","(0.25523579120635986, 0.872989296913147, -0.14015533030033112, 0.9428398609161377)","(0.39296022057533264, 0.8708813786506653, 0.20788748562335968, 0.8479450941085815)","(0.3094460368156433, 0.8955182433128357, -0.23221547901630402, 0.9025532007217407)",IDLE
