relative_time,NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,action
5.009286880493164,"(0.3512001633644104, 0.21482029557228088, -0.33672383427619934, 0.9999243021011353)","(0.35513371229171753, 0.2044983059167862, -0.3170754909515381, 0.9997987151145935)","(0.35756614804267883, 0.205245703458786, -0.3170430660247803, 0.999718427658081)","(0.36000269651412964, 0.20595891773700714, -0.3171004354953766, 0.99971604347229)","(0.3473571240901947, 0.20384415984153748, -0.31962665915489197, 0.9998465776443481)","(0.344352662563324, 0.20427297055721283, -0.31969207525253296, 0.9998123049736023)","(0.3412627577781677, 0.2047473043203354, -0.3196961283683777, 0.999823272228241)","(0.3610912561416626, 0.21325182914733887, -0.20601364970207214, 0.9994845986366272)","(0.3351539969444275, 0.21163281798362732, -0.2165018767118454, 0.9997178316116333)","(0.35472676157951355, 0.23259204626083374, -0.2948344349861145, 0.9994979500770569)","(0.34448522329330444, 0.23126116394996643, -0.2981199324131012, 0.9995557069778442)","(0.38700947165489197, 0.26970174908638, -0.13441815972328186, 0.9977264404296875)","(0.30730217695236206, 0.2728780210018158, -0.17979659140110016, 0.9987645745277405)","(0.4284706115722656, 0.21181240677833557, -0.1474238783121109, 0.9933266639709473)","(0.2810431718826294, 0.1905367076396942, -0.2568081319332123, 0.9967599511146545)","(0.4685477614402771, 0.11821575462818146, -0.22910591959953308, 0.989745020866394)","(0.2646658718585968, 0.08640106767416, -0.3555673360824585, 0.992601752281189)","(0.47815412282943726, 0.09902916848659515, -0.25566810369491577, 0.9612690210342407)","(0.26099923253059387, 0.058145828545093536, -0.38956162333488464, 0.9714854955673218)","(0.4756155014038086, 0.09546741098165512, -0.2746175527572632, 0.9641266465187073)","(0.26450181007385254, 0.053546980023384094, -0.39725396037101746, 0.9705361127853394)","(0.47146567702293396, 0.10163987427949905, -0.2436233013868332, 0.9649620056152344)","(0.26716190576553345, 0.06180710718035698, -0.36483123898506165, 0.9696058630943298)","(0.37728065252304077, 0.5058143138885498, 0.006097723729908466, 0.999093770980835)","(0.3278241753578186, 0.5055944323539734, -0.00609284732490778, 0.9995323419570923)","(0.37772291898727417, 0.6572530269622803, -0.02074550651013851, 0.9598963260650635)","(0.31109023094177246, 0.6570296883583069, -0.023656122386455536, 0.9849711060523987)","(0.37063199281692505, 0.806875467300415, 0.0850452184677124, 0.9599064588546753)","(0.2935448884963989, 0.8098911643028259, 0.09207947552204132, 0.9834072589874268)","(0.3613327145576477, 0.8303372859954834, 0.088063545525074, 0.9037750959396362)","(0.3014269471168518, 0.8318568468093872, 0.09506697952747345, 0.8773325681686401)","(0.3876118063926697, 0.8480236530303955, -0.03263460099697113, 0.9538377523422241)","(0.27154597640037537, 0.8559630513191223, -0.026163756847381592, 0.9728926420211792)",ACTIVATE
5.104971408843994,"(0.34307631850242615, 0.20915809273719788, -0.32382532954216003, 0.9999217391014099)","(0.34554117918014526, 0.2001744657754898, -0.30348512530326843, 0.999788224697113)","(0.34815871715545654, 0.20078572630882263, -0.3034490942955017, 0.9997035264968872)","(0.35059836506843567, 0.20127663016319275, -0.30350247025489807, 0.9997036457061768)","(0.33758479356765747, 0.20026910305023193, -0.3055446743965149, 0.9998389482498169)","(0.33450835943222046, 0.20119690895080566, -0.3056081533432007, 0.9998029470443726)","(0.3314434885978699, 0.20208267867565155, -0.30562448501586914, 0.999816358089447)","(0.3517710864543915, 0.20874615013599396, -0.19295136630535126, 0.9994494915008545)","(0.32536447048187256, 0.21012796461582184, -0.2016340047121048, 0.9997047781944275)","(0.3477652668952942, 0.2259264886379242, -0.28284400701522827, 0.9994679093360901)","(0.3367629647254944, 0.2264576107263565, -0.28544050455093384, 0.9995318055152893)","(0.3788432478904724, 0.26503047347068787, -0.12113580852746964, 0.9976799488067627)","(0.29885542392730713, 0.2714030146598816, -0.172695592045784, 0.9987618923187256)","(0.42030400037765503, 0.21133612096309662, -0.13611844182014465, 0.9933990836143494)","(0.27323251962661743, 0.19053354859352112, -0.23692286014556885, 0.9967472553253174)","(0.4597938060760498, 0.12051165103912354, -0.2156936228275299, 0.9892632961273193)","(0.26003366708755493, 0.08481679856777191, -0.3065671920776367, 0.9921718239784241)","(0.4717482030391693, 0.10063561052083969, -0.24105378985404968, 0.9594290256500244)","(0.25789791345596313, 0.05751831829547882, -0.34045296907424927, 0.9691612720489502)","(0.46981367468833923, 0.09672684967517853, -0.2615228295326233, 0.962517499923706)","(0.2620962858200073, 0.05275622382760048, -0.3452548384666443, 0.9681259989738464)","(0.4647761285305023, 0.10318901389837265, -0.23096910119056702, 0.9635448455810547)","(0.2637932598590851, 0.0605655200779438, -0.31488776206970215, 0.9673441648483276)","(0.3704269826412201, 0.5053097009658813, 0.006247968878597021, 0.9990955591201782)","(0.32047998905181885, 0.5034662485122681, -0.00625485647469759, 0.9995464086532593)","(0.37473395466804504, 0.6572668552398682, 0.03336494788527489, 0.960959255695343)","(0.2991124391555786, 0.6568705439567566, -0.04365144297480583, 0.9859349131584167)","(0.3707513213157654, 0.8068676590919495, 0.1659301221370697, 0.9614346623420715)","(0.27685216069221497, 0.8107834458351135, 0.07249835133552551, 0.9844977855682373)","(0.3619217872619629, 0.83015376329422, 0.17103390395641327, 0.9034181833267212)","(0.2821694016456604, 0.8333696722984314, 0.0758998766541481, 0.8825415968894958)","(0.38850727677345276, 0.8480976819992065, 0.051419585943222046, 0.9546406865119934)","(0.25757187604904175, 0.8599026799201965, -0.04978375881910324, 0.9743768572807312)",ACTIVATE
5.205516815185547,"(0.33311641216278076, 0.20860856771469116, -0.29806387424468994, 0.9999183416366577)","(0.3341465890407562, 0.1987859308719635, -0.27818456292152405, 0.9997824430465698)","(0.33654797077178955, 0.19905586540699005, -0.27817076444625854, 0.9996961355209351)","(0.33895981311798096, 0.19923309981822968, -0.27822527289390564, 0.9996972680091858)","(0.32639071345329285, 0.19964560866355896, -0.2797926366329193, 0.9998313188552856)","(0.32351019978523254, 0.20074649155139923, -0.2798428535461426, 0.9997918009757996)","(0.32042068243026733, 0.2017858922481537, -0.27985772490501404, 0.9998068809509277)","(0.34038621187210083, 0.2063552588224411, -0.16701893508434296, 0.9994304776191711)","(0.31445467472076416, 0.20991253852844238, -0.17371691763401031, 0.9996934533119202)","(0.338049978017807, 0.22458894550800323, -0.2566179037094116, 0.9994516372680664)","(0.3277912139892578, 0.22643542289733887, -0.2586129307746887, 0.9995169043540955)","(0.3707485795021057, 0.26109570264816284, -0.09663762152194977, 0.9977089762687683)","(0.2885049283504486, 0.27052170038223267, -0.1471240222454071, 0.9987674951553345)","(0.40914446115493774, 0.21062229573726654, -0.1278020441532135, 0.9931879639625549)","(0.26258736848831177, 0.19056233763694763, -0.20239587128162384, 0.9967096447944641)","(0.4448738694190979, 0.1257104128599167, -0.22236189246177673, 0.9881255626678467)","(0.24658894538879395, 0.08355320990085602, -0.26396819949150085, 0.9914709329605103)","(0.45719701051712036, 0.10470651090145111, -0.2513071894645691, 0.956227719783783)","(0.24542979896068573, 0.05656048282980919, -0.29751360416412354, 0.966063380241394)","(0.4557611048221588, 0.099920354783535, -0.27196747064590454, 0.9595910310745239)","(0.2505650520324707, 0.05060668662190437, -0.3028908967971802, 0.9649413824081421)","(0.4505804479122162, 0.1057286486029625, -0.23836489021778107, 0.9609548449516296)","(0.251396119594574, 0.05882418528199196, -0.2723710834980011, 0.964389979839325)","(0.359745591878891, 0.5043244361877441, 0.007865379564464092, 0.9991044402122498)","(0.31143757700920105, 0.5034793019294739, -0.007807341869920492, 0.9995532035827637)","(0.36816567182540894, 0.6569995880126953, 0.0456361398100853, 0.9622854590415955)","(0.28781551122665405, 0.6608975529670715, -0.03702078387141228, 0.986937940120697)","(0.370724618434906, 0.8064151406288147, 0.17345038056373596, 0.9633103013038635)","(0.26580673456192017, 0.8167788982391357, 0.07269766926765442, 0.9856051802635193)","(0.36299988627433777, 0.829615592956543, 0.1782648116350174, 0.9051706194877625)","(0.26699298620224, 0.8395361304283142, 0.07550828158855438, 0.8874228000640869)","(0.3910045027732849, 0.8481282591819763, 0.05949622392654419, 0.9558399319648743)","(0.2512187659740448, 0.8645128607749939, -0.05257578566670418, 0.975808322429657)",ACTIVATE
5.301660060882568,"(0.31957194209098816, 0.20647941529750824, -0.3103225827217102, 0.9999228119850159)","(0.3198828399181366, 0.19760672748088837, -0.2905876636505127, 0.9997959136962891)","(0.3218933939933777, 0.19788941740989685, -0.29056316614151, 0.9997163414955139)","(0.3240448236465454, 0.19807764887809753, -0.29061517119407654, 0.999717116355896)","(0.3132222890853882, 0.19895493984222412, -0.29274433851242065, 0.9998398423194885)","(0.31033754348754883, 0.2003566175699234, -0.29280000925064087, 0.9998013377189636)","(0.3072466254234314, 0.20166157186031342, -0.2928115725517273, 0.999814510345459)","(0.3249402344226837, 0.20618656277656555, -0.17307813465595245, 0.9994691014289856)","(0.30194801092147827, 0.21047836542129517, -0.18897387385368347, 0.9997090697288513)","(0.32426556944847107, 0.22224892675876617, -0.2684464752674103, 0.9994906783103943)","(0.3150748610496521, 0.2251943200826645, -0.2716609835624695, 0.9995476007461548)","(0.3580217659473419, 0.2615130543708801, -0.12207237631082535, 0.9978727698326111)","(0.27324408292770386, 0.27054744958877563, -0.16163066029548645, 0.9988335967063904)","(0.38946598768234253, 0.21279336512088776, -0.18398231267929077, 0.9933887124061584)","(0.24557232856750488, 0.1894562542438507, -0.2286524474620819, 0.9968460202217102)","(0.42329543828964233, 0.12987039983272552, -0.30113810300827026, 0.9880514144897461)","(0.23132309317588806, 0.07924029231071472, -0.2856859564781189, 0.9916261434555054)","(0.4348355233669281, 0.10526609420776367, -0.33216726779937744, 0.9561495780944824)","(0.23036417365074158, 0.0524001345038414, -0.31888240575790405, 0.9662284851074219)","(0.43339619040489197, 0.10057003051042557, -0.35085827112197876, 0.9593738317489624)","(0.23568511009216309, 0.04668372869491577, -0.31999924778938293, 0.9650099277496338)","(0.42846760153770447, 0.10791171342134476, -0.31611791253089905, 0.9610158801078796)","(0.2361423671245575, 0.05454274266958237, -0.29242080450057983, 0.9645090699195862)","(0.3417457342147827, 0.5048990249633789, 0.009004811756312847, 0.9991648197174072)","(0.2898425757884979, 0.5061212182044983, -0.00897909328341484, 0.9995829463005066)","(0.3559565246105194, 0.6569613218307495, 0.0629897266626358, 0.9646778702735901)","(0.27606263756752014, 0.6689156293869019, -0.008987559005618095, 0.9880186319351196)","(0.37033694982528687, 0.8057084679603577, 0.21881744265556335, 0.965910792350769)","(0.26394370198249817, 0.8217557072639465, 0.11971565335988998, 0.9867442846298218)","(0.3635382354259491, 0.8289969563484192, 0.2273276299238205, 0.9095095992088318)","(0.2681552469730377, 0.8412548303604126, 0.12445700168609619, 0.8930843472480774)","(0.39196568727493286, 0.8479899168014526, 0.10845550149679184, 0.9581891894340515)","(0.24926893413066864, 0.8701143264770508, -0.005012347362935543, 0.977330207824707)",ACTIVATE
5.401386499404907,"(0.3031105697154999, 0.20983543992042542, -0.3717975616455078, 0.9999281764030457)","(0.30623316764831543, 0.19841404259204865, -0.3511399030685425, 0.9998101592063904)","(0.30854588747024536, 0.19856630265712738, -0.35111203789711, 0.999735414981842)","(0.3108427822589874, 0.19862011075019836, -0.35120388865470886, 0.999736487865448)","(0.2983853220939636, 0.19983209669589996, -0.35714876651763916, 0.9998508095741272)","(0.2952166199684143, 0.2011348456144333, -0.35720357298851013, 0.9998142719268799)","(0.29173532128334045, 0.20240511000156403, -0.35721641778945923, 0.9998266100883484)","(0.3116879463195801, 0.20632773637771606, -0.234513521194458, 0.9995052218437195)","(0.28621867299079895, 0.21087409555912018, -0.2620914876461029, 0.9997305870056152)","(0.3068176805973053, 0.2252303510904312, -0.3277507424354553, 0.999528706073761)","(0.2980852723121643, 0.22746631503105164, -0.33577701449394226, 0.9995813965797424)","(0.34069252014160156, 0.26592743396759033, -0.15792927145957947, 0.9980201721191406)","(0.2570917010307312, 0.27036353945732117, -0.2403881996870041, 0.9989144802093506)","(0.3737945258617401, 0.21638502180576324, -0.18009820580482483, 0.9935986995697021)","(0.23279480636119843, 0.18975985050201416, -0.32398533821105957, 0.9969885945320129)","(0.40479302406311035, 0.12788064777851105, -0.2680414319038391, 0.9880555272102356)","(0.22144827246665955, 0.07814621925354004, -0.3866446018218994, 0.991857647895813)","(0.4164547026157379, 0.10403034090995789, -0.2958235740661621, 0.9559164047241211)","(0.2192472666501999, 0.047497205436229706, -0.42423367500305176, 0.9669284224510193)","(0.41344237327575684, 0.0999714732170105, -0.3142860531806946, 0.9590297341346741)","(0.22433046996593475, 0.042038023471832275, -0.4254673421382904, 0.9655857086181641)","(0.4073931574821472, 0.10677485167980194, -0.28252604603767395, 0.9607337117195129)","(0.22507962584495544, 0.052697937935590744, -0.3937319815158844, 0.9649457931518555)","(0.3206201493740082, 0.5069039463996887, 0.015248405747115612, 0.999223530292511)","(0.27066314220428467, 0.5107118487358093, -0.015337852761149406, 0.9996086955070496)","(0.3429867923259735, 0.6568561792373657, 0.05443713068962097, 0.9670263528823853)","(0.2649751603603363, 0.6744962334632874, 0.00742891151458025, 0.9888229966163635)","(0.36566585302352905, 0.8054153323173523, 0.2118547409772873, 0.9681278467178345)","(0.26115962862968445, 0.8239020705223083, 0.16453754901885986, 0.9876359701156616)","(0.3588483929634094, 0.8286215662956238, 0.22060325741767883, 0.913806140422821)","(0.26638147234916687, 0.8420759439468384, 0.1720360368490219, 0.8982444405555725)","(0.39167672395706177, 0.8472151756286621, 0.10163453966379166, 0.9601441621780396)","(0.24908049404621124, 0.8722801208496094, 0.044832389801740646, 0.9783542156219482)",ACTIVATE
5.5013041496276855,"(0.2928314805030823, 0.2082381397485733, -0.36153727769851685, 0.9999332427978516)","(0.2961377799510956, 0.19684313237667084, -0.3412725031375885, 0.9998248219490051)","(0.29893437027931213, 0.1971549540758133, -0.3412233889102936, 0.999755322933197)","(0.3017982840538025, 0.1974440962076187, -0.34130460023880005, 0.9997566938400269)","(0.28769734501838684, 0.19787779450416565, -0.34431192278862, 0.9998620748519897)","(0.2846204340457916, 0.1990647166967392, -0.3443768620491028, 0.9998278021812439)","(0.28151407837867737, 0.20014585554599762, -0.34438079595565796, 0.9998397827148438)","(0.30385223031044006, 0.2061389535665512, -0.22947373986244202, 0.9995449185371399)","(0.27624064683914185, 0.20937427878379822, -0.2433028519153595, 0.9997513294219971)","(0.29666656255722046, 0.2243272215127945, -0.3195609748363495, 0.999565064907074)","(0.2873319983482361, 0.22584277391433716, -0.32368382811546326, 0.9996135234832764)","(0.32788217067718506, 0.268880695104599, -0.16849474608898163, 0.9980355501174927)","(0.24582119286060333, 0.2699819505214691, -0.21455971896648407, 0.9989540576934814)","(0.36378148198127747, 0.2149977833032608, -0.19938306510448456, 0.9936098456382751)","(0.2207273244857788, 0.1818762868642807, -0.299180805683136, 0.9969154000282288)","(0.39037322998046875, 0.11695931851863861, -0.27115893363952637, 0.9869441986083984)","(0.21487386524677277, 0.06858093291521072, -0.3809463381767273, 0.9913379549980164)","(0.3983191251754761, 0.09395355731248856, -0.2993720769882202, 0.9524462223052979)","(0.21602079272270203, 0.040007300674915314, -0.41768914461135864, 0.9651442170143127)","(0.39561718702316284, 0.08681321889162064, -0.31256580352783203, 0.9554482698440552)","(0.22243228554725647, 0.037314388900995255, -0.4185866415500641, 0.9635647535324097)","(0.3917626738548279, 0.09529748558998108, -0.28311657905578613, 0.9571945071220398)","(0.2225484400987625, 0.045704953372478485, -0.388129323720932, 0.963283360004425)","(0.3113572895526886, 0.5074840188026428, 0.004903050139546394, 0.9991925954818726)","(0.2614591419696808, 0.5140829086303711, -0.005034261383116245, 0.9995957016944885)","(0.3321980834007263, 0.6592154502868652, 0.03634371981024742, 0.9668398499488831)","(0.26031041145324707, 0.6764233708381653, 0.023494025692343712, 0.9879071712493896)","(0.3522048592567444, 0.8054275512695312, 0.19485226273536682, 0.9670539498329163)","(0.2624664902687073, 0.8260679244995117, 0.18386898934841156, 0.9868461489677429)","(0.346754252910614, 0.8274160027503967, 0.20250646770000458, 0.9050331711769104)","(0.2686450183391571, 0.8433823585510254, 0.19201907515525818, 0.8972247242927551)","(0.3645884394645691, 0.8471984267234802, 0.08474357426166534, 0.9570017457008362)","(0.24875573813915253, 0.8718867897987366, 0.07387980073690414, 0.9759986996650696)",ACTIVATE
5.597468137741089,"(0.2860174775123596, 0.20464672148227692, -0.3422105610370636, 0.9999380111694336)","(0.2900172472000122, 0.1931408792734146, -0.31824231147766113, 0.9998385310173035)","(0.29311874508857727, 0.19376377761363983, -0.31818169355392456, 0.9997739195823669)","(0.29608356952667236, 0.19431757926940918, -0.3182412385940552, 0.9997755885124207)","(0.2805751860141754, 0.1928907036781311, -0.3216390609741211, 0.9998722672462463)","(0.27718523144721985, 0.1935376524925232, -0.32168641686439514, 0.9998401999473572)","(0.2735127806663513, 0.1940014362335205, -0.3216795325279236, 0.9998515844345093)","(0.29809141159057617, 0.20374050736427307, -0.19982020556926727, 0.9995792508125305)","(0.26716360449790955, 0.2037443220615387, -0.2160777598619461, 0.9997696876525879)","(0.2899587154388428, 0.22277100384235382, -0.29898253083229065, 0.9995997548103333)","(0.27896299958229065, 0.22327253222465515, -0.3043261170387268, 0.99964439868927)","(0.31759166717529297, 0.26818031072616577, -0.14009110629558563, 0.9981062412261963)","(0.23746295273303986, 0.2682504951953888, -0.20365798473358154, 0.9989747405052185)","(0.34982869029045105, 0.21020740270614624, -0.15718385577201843, 0.9933805465698242)","(0.21489842236042023, 0.17726407945156097, -0.2904249429702759, 0.9969103336334229)","(0.3722258508205414, 0.09832832217216492, -0.2131524384021759, 0.9867148995399475)","(0.21698670089244843, 0.06460517644882202, -0.3774453103542328, 0.9910531044006348)","(0.37692368030548096, 0.07119797170162201, -0.23769822716712952, 0.9520047903060913)","(0.2190464437007904, 0.03787877410650253, -0.4170241951942444, 0.964190661907196)","(0.3726422190666199, 0.06658773124217987, -0.2516670525074005, 0.9546608328819275)","(0.2250266969203949, 0.03493465483188629, -0.4125751554965973, 0.9623202681541443)","(0.3696684241294861, 0.07493362575769424, -0.2241968810558319, 0.9560394287109375)","(0.22541649639606476, 0.042774591594934464, -0.3827866017818451, 0.9619892239570618)","(0.30571988224983215, 0.5077769160270691, 0.011559268459677696, 0.9992302656173706)","(0.2545877993106842, 0.5148413181304932, -0.011738923378288746, 0.999604344367981)","(0.32120731472969055, 0.6622227430343628, 0.0459589883685112, 0.9689461588859558)","(0.255211740732193, 0.6785380840301514, 0.02232765592634678, 0.9885655641555786)","(0.3306194245815277, 0.8094173669815063, 0.23233520984649658, 0.968750536441803)","(0.2601062059402466, 0.8272532224655151, 0.19731482863426208, 0.9874834418296814)","(0.32111427187919617, 0.8314129114151001, 0.24399609863758087, 0.9066541194915771)","(0.2661866545677185, 0.8436817526817322, 0.20764108002185822, 0.8983481526374817)","(0.3468758463859558, 0.8533977270126343, 0.12624278664588928, 0.9586784839630127)","(0.2518700957298279, 0.8734419345855713, 0.08603568375110626, 0.9768253564834595)",ACTIVATE
5.6968724727630615,"(0.2790265381336212, 0.20515888929367065, -0.3309328854084015, 0.9999397397041321)","(0.28425803780555725, 0.19355513155460358, -0.30698463320732117, 0.9998459219932556)","(0.287539541721344, 0.19417104125022888, -0.3069380521774292, 0.9997838735580444)","(0.29063546657562256, 0.19471478462219238, -0.3069872260093689, 0.9997861981391907)","(0.2737051248550415, 0.19331160187721252, -0.310580849647522, 0.9998765587806702)","(0.2698684632778168, 0.19398798048496246, -0.31062576174736023, 0.999844491481781)","(0.26635870337486267, 0.19450853765010834, -0.31062158942222595, 0.999855637550354)","(0.29297393560409546, 0.20380565524101257, -0.19050176441669464, 0.9995974898338318)","(0.25952303409576416, 0.20386797189712524, -0.20752787590026855, 0.9997766613960266)","(0.2832368016242981, 0.2239476889371872, -0.28846195340156555, 0.9996142983436584)","(0.2717997431755066, 0.2238941192626953, -0.2940148413181305, 0.9996561408042908)","(0.3095916211605072, 0.268632709980011, -0.1387633979320526, 0.9981210827827454)","(0.2312384396791458, 0.26828426122665405, -0.19231323897838593, 0.9989562034606934)","(0.3375377058982849, 0.2017291784286499, -0.15989898145198822, 0.9930809140205383)","(0.2111363410949707, 0.1727590262889862, -0.28936120867729187, 0.9968408942222595)","(0.35679519176483154, 0.08635962009429932, -0.22152256965637207, 0.9860479831695557)","(0.21783193945884705, 0.060231249779462814, -0.3461870551109314, 0.9905684590339661)","(0.3596135377883911, 0.0591779500246048, -0.24727189540863037, 0.9502277374267578)","(0.22149357199668884, 0.033449623733758926, -0.3821827173233032, 0.9625983834266663)","(0.3541184961795807, 0.055182043462991714, -0.26121705770492554, 0.9525543451309204)","(0.2273295819759369, 0.0293846745043993, -0.37544894218444824, 0.9604068994522095)","(0.35185492038726807, 0.06398185342550278, -0.23289522528648376, 0.9538171887397766)","(0.22710490226745605, 0.03838459774851799, -0.349892795085907, 0.9600949287414551)","(0.3005705773830414, 0.5082401037216187, 0.011458439752459526, 0.9992659687995911)","(0.250410258769989, 0.5143854022026062, -0.011635112576186657, 0.9996113777160645)","(0.3108646273612976, 0.6620419025421143, 0.01628895476460457, 0.970379650592804)","(0.2522253394126892, 0.6783943772315979, 0.023009980097413063, 0.98887038230896)","(0.32327041029930115, 0.8112170696258545, 0.15904507040977478, 0.9700726270675659)","(0.2594648003578186, 0.8262295126914978, 0.17696477472782135, 0.9877454042434692)","(0.31348758935928345, 0.8354089260101318, 0.16623257100582123, 0.9090055227279663)","(0.2653482258319855, 0.8432767391204834, 0.18443948030471802, 0.8988702297210693)","(0.3414403796195984, 0.8553101420402527, 0.04454134777188301, 0.960116446018219)","(0.25094035267829895, 0.873199462890625, 0.06531962007284164, 0.9770424365997314)",ACTIVATE
5.793400287628174,"(0.2734912633895874, 0.20527714490890503, -0.3050459027290344, 0.9999419450759888)","(0.27922821044921875, 0.19350141286849976, -0.2809612452983856, 0.9998537302017212)","(0.282532274723053, 0.19393740594387054, -0.28091961145401, 0.9997944235801697)","(0.2857407033443451, 0.1943328082561493, -0.2809608578681946, 0.9997976422309875)","(0.26844555139541626, 0.19357649981975555, -0.2834562659263611, 0.9998809695243835)","(0.2645435929298401, 0.19425438344478607, -0.28348642587661743, 0.9998486042022705)","(0.2610578238964081, 0.1947590708732605, -0.2834668755531311, 0.9998599886894226)","(0.2882985472679138, 0.20309297740459442, -0.16462849080562592, 0.9996150135993958)","(0.25552740693092346, 0.20364627242088318, -0.17588327825069427, 0.999782383441925)","(0.27818161249160767, 0.22413058578968048, -0.2628379762172699, 0.9996329545974731)","(0.26638686656951904, 0.22396087646484375, -0.2665243148803711, 0.9996724128723145)","(0.30657893419265747, 0.2689629793167114, -0.12116125971078873, 0.9981697201728821)","(0.2287510335445404, 0.2685530483722687, -0.1497274935245514, 0.9988995790481567)","(0.33123937249183655, 0.19766852259635925, -0.15394312143325806, 0.9930289387702942)","(0.2076626569032669, 0.17143356800079346, -0.22057755291461945, 0.9966675043106079)","(0.3432157635688782, 0.07710260152816772, -0.21548442542552948, 0.9858372807502747)","(0.21611535549163818, 0.0590352900326252, -0.27614888548851013, 0.9898267388343811)","(0.34437674283981323, 0.048544492572546005, -0.24565637111663818, 0.949872612953186)","(0.21982696652412415, 0.03289231285452843, -0.31399425864219666, 0.9604048132896423)","(0.33839744329452515, 0.04497690126299858, -0.25747182965278625, 0.951775312423706)","(0.2265763282775879, 0.028093518689274788, -0.3104422688484192, 0.9578548669815063)","(0.3364796042442322, 0.05423517897725105, -0.22602346539497375, 0.9528501629829407)","(0.2267598807811737, 0.03623635321855545, -0.28125590085983276, 0.9576728343963623)","(0.30069226026535034, 0.5082215070724487, 0.008953915908932686, 0.9993022084236145)","(0.2485281527042389, 0.5141146183013916, -0.009079735726118088, 0.9996119141578674)","(0.3154776692390442, 0.6641125679016113, 0.022316375747323036, 0.9724114537239075)","(0.25244075059890747, 0.6777746677398682, 0.0389915406703949, 0.989325761795044)","(0.32562553882598877, 0.8116238117218018, 0.1865689605474472, 0.9719754457473755)","(0.25959154963493347, 0.8261818885803223, 0.2188468873500824, 0.9882577657699585)","(0.3156687617301941, 0.8351525068283081, 0.19665631651878357, 0.9111426472663879)","(0.2651664614677429, 0.8425024151802063, 0.2288978546857834, 0.9007290005683899)","(0.34343603253364563, 0.8571851849555969, 0.06678611040115356, 0.9622560143470764)","(0.2514971196651459, 0.8744544982910156, 0.1071733832359314, 0.9777464866638184)",ACTIVATE
5.893451929092407,"(0.2744382619857788, 0.20530575513839722, -0.3136879503726959, 0.9999418258666992)","(0.2799784541130066, 0.19298607110977173, -0.2905718684196472, 0.9998562932014465)","(0.28293371200561523, 0.19342467188835144, -0.2905266284942627, 0.9997949600219727)","(0.28549066185951233, 0.19384819269180298, -0.29057466983795166, 0.9997997879981995)","(0.2697910666465759, 0.19328880310058594, -0.29355090856552124, 0.9998830556869507)","(0.26577889919281006, 0.19404025375843048, -0.2935960590839386, 0.9998492002487183)","(0.2620962858200073, 0.19464020431041718, -0.29359251260757446, 0.9998623132705688)","(0.287941038608551, 0.2024778425693512, -0.1735568791627884, 0.999613881111145)","(0.2556319832801819, 0.20301151275634766, -0.18797284364700317, 0.9997867941856384)","(0.278730183839798, 0.2239653468132019, -0.2710680365562439, 0.9996313452720642)","(0.2669883966445923, 0.2238631546497345, -0.2753872275352478, 0.9996784329414368)","(0.3076978921890259, 0.2697601616382599, -0.12281419336795807, 0.9979544878005981)","(0.2292799949645996, 0.26860183477401733, -0.1612447202205658, 0.998883068561554)","(0.33353084325790405, 0.19416114687919617, -0.15032897889614105, 0.9928690195083618)","(0.20273709297180176, 0.1721866875886917, -0.2377757579088211, 0.9965985417366028)","(0.3365013897418976, 0.07486901432275772, -0.19450923800468445, 0.9853239059448242)","(0.21600380539894104, 0.05957362428307533, -0.2897484004497528, 0.9893816113471985)","(0.33598592877388, 0.0451706126332283, -0.22033503651618958, 0.9482360482215881)","(0.22132070362567902, 0.031920261681079865, -0.3246580958366394, 0.9586453437805176)","(0.32887133955955505, 0.042920637875795364, -0.2265283614397049, 0.9495750665664673)","(0.22793877124786377, 0.027994895353913307, -0.3186158537864685, 0.9556955695152283)","(0.32717183232307434, 0.05275344476103783, -0.20207664370536804, 0.9502619504928589)","(0.22799432277679443, 0.036467328667640686, -0.29327714443206787, 0.9554785490036011)","(0.30256029963493347, 0.5082117319107056, 0.0085369311273098, 0.999288022518158)","(0.25127699971199036, 0.5141581296920776, -0.008655468933284283, 0.9996055364608765)","(0.3207054138183594, 0.6622851490974426, 0.025519419461488724, 0.9735052585601807)","(0.25410643219947815, 0.6769933700561523, 0.028354015201330185, 0.9894052147865295)","(0.3310930132865906, 0.8091727495193481, 0.193878635764122, 0.9726588129997253)","(0.2605993151664734, 0.8277142643928528, 0.1934758722782135, 0.9885755181312561)","(0.3227442800998688, 0.8316291570663452, 0.2036910504102707, 0.9121465682983398)","(0.2664390802383423, 0.843637228012085, 0.20196060836315155, 0.9032894372940063)","(0.3519674241542816, 0.8549156188964844, 0.08458086103200912, 0.9626550078392029)","(0.25214678049087524, 0.8750162124633789, 0.0801372230052948, 0.9777929782867432)",ACTIVATE
